date,price_usd,inr_per_usd,gold_price_inr,fed_intrest_rate,inflation_yoy,gold_return_1d,inr_change_1d,gold_inr_return_1d
1991-08-01,352.7,25.8457,9115.77839,5.66,3.7993920972644313,3.491784037558676,0.9097049510594424,4.433253920888092
1991-09-01,343.1,25.8335,8863.47385,5.45,3.396226415094339,-2.721859937624038,-0.04720320981826953,-2.76777834218499
1991-10-01,345.4,25.7973,8910.38742,5.21,2.8485757121439192,0.6703584960652709,-0.14012812820562992,0.5292910070468393
1991-11-01,344.4,25.8021,8886.24324,4.81,3.0665669409125185,-0.2895193977996535,0.01860659836494527,-0.27096666914623313
1991-12-01,335.0,25.818,8649.03,4.43,2.980625931445613,-2.7293844367014986,0.06162289116002917,-2.669443471142241
1992-01-01,334.8,25.8629,8658.89892,4.03,2.672605790645899,-0.05970149253731183,0.17390967542023628,0.1141043562110422
1992-02-01,329.0,25.9921,8551.4009,4.06,2.818991097922829,-1.7323775388291551,0.499557280892704,-1.2414744760642082
1992-03-01,329.3,28.3777,9344.77661,3.98,3.189910979228472,0.09118541033434902,9.178173368061838,9.277727933443058
1992-04-01,330.1,28.8962,9538.635620000001,3.73,3.182827535159149,0.2429395687822744,1.8271389154159712,2.0745173276004003
1992-05-01,342.2,28.5415,9766.9013,3.82,3.023598820059004,3.665555892153871,-1.2274970411334407,2.393064260903155
1992-06-01,367.2,28.5186,10472.029919999999,3.76,3.0147058823529305,7.305669199298648,-0.08023404516230848,7.219573520211564
1992-07-01,371.9,28.5639,10622.91441,3.25,3.1571218795888534,1.2799564270152386,0.15884370200500708,1.4408332591929751
1992-08-01,392.2,28.4635,11163.384699999999,3.3,3.074670571010252,5.458456574347936,-0.3514926183049272,5.087777884110811
1992-09-01,378.8,28.4757,10786.59516,3.22,2.9927007299270114,-3.4166241713411427,0.04286191086830815,-3.375226690879851
1992-10-01,355.3,28.4767,10117.77151,3.1,3.279883381924198,-6.2038014783526885,0.0035117661725703186,-6.200507575181868
1992-11-01,364.2,28.4737,10370.12154,3.09,3.12046444121914,2.504925415142134,-0.010534928555627765,2.4941265944836477
1992-12-01,373.8,28.9786,10832.20068,2.92,2.966714905933454,2.635914332784184,1.7732152828750625,4.455870051451671
1993-01-01,383.3,29.0432,11132.25856,3.02,3.2537960954446943,2.5414660246120935,0.22292312258009872,2.7700546626135747
1993-02-01,386.9,30.0421,11623.288489999999,3.03,3.2467532467532534,0.9392121054004665,3.439359299250788,4.410874283538013
1993-03-01,381.9,31.9391,12197.54229,3.07,3.0194104960460155,-1.2923235978288927,6.314472024259277,4.940545014382591
1993-04-01,384.1,31.6095,12141.20895,2.96,3.1563845050215145,0.5760670332547901,-1.0319639564045247,-0.4618417272976627
1993-05-01,377.3,31.6125,11927.39625,3.0,3.2211882605583497,-1.770372298880507,0.009490817633950321,-1.7610495040528917
1993-06-01,381.4,31.6682,12078.251479999999,3.04,2.9978586723768963,1.0866684336072074,0.17619612495056725,1.2647792262288515
1993-07-01,385.6,31.6,12184.960000000001,3.06,2.8469750889679624,1.1012060828526682,-0.2153579931919003,0.8834765543398237
1993-08-01,385.5,31.6123,12186.541650000001,3.03,2.840909090909083,-0.025933609958517234,0.038924050632904716,0.012980346262936315
1993-09-01,380.4,31.5776,12012.11904,3.09,2.763997165131116,-1.3229571984435862,-0.10976740066366286,-1.4312724233786378
1993-10-01,391.6,31.505,12337.358,2.99,2.752293577981657,2.9442691903259766,-0.229909809485207,2.707590217154565
1993-11-01,389.8,31.4335,12252.7783,3.02,2.744546094299793,-0.4596527068437162,-0.22694810347564376,-0.6855576372186034
1993-12-01,384.4,31.44,12085.536,2.96,2.8109627547435068,-1.38532580810673,0.020678575405219668,-1.3649336983433402
1994-01-01,379.3,31.44,11925.192000000001,3.05,2.450980392156854,-1.326742976066586,0.0,-1.326742976066586
1994-02-01,378.6,31.4489,11906.55354,3.25,2.515723270440251,-0.1845504877405757,0.028307888040712825,-0.15629484204531252
1994-03-01,376.6,31.4147,11830.776020000001,3.34,2.6517794836008246,-0.5282620179609121,-0.10874784173691143,-0.6364353861545657
1994-04-01,382.1,31.3914,11994.65394,3.56,2.364394993045882,1.460435475305366,-0.07416909917967729,1.385183184289529
1994-05-01,391.0,31.3754,12267.7814,4.01,2.288488210818307,2.3292331850300885,-0.05096937377753186,2.277076615684326
1994-06-01,385.2,31.3845,12089.3094,4.25,2.494802494802495,-1.4833759590792917,0.02900361429654108,-1.4548025774244744
1994-07-01,387.6,31.3764,12161.49264,4.26,2.69896193771626,0.6230529595015577,-0.02580891841513777,0.5970832378564106
1994-08-01,386.2,31.3727,12116.136739999998,4.47,2.900552486187835,-0.3611971104231282,-0.011792302494872953,-0.3729468194621388
1994-09-01,383.7,31.3723,12037.55151,4.73,2.965517241379323,-0.6473329880890777,-0.001274993864086582,-0.6485997284972789
